cleaned_text,sentiment
 that is awsome  you might know jay awada,Positive
 quotohh o stop biting me ohhh the humanity o please will not somebody think of the braeburnsquot ,Positive
in bed now alone  lol,Negative
time to sleep  nyt socal see yah in 3 weekshave a blessed holy week d,Positive
true luxury has evolved into something called oat you know sounds like haute  looks like original and timeless ,Positive
leaving for iluma shopping centre now ,Positive
i know coveritlive mobile works on an iphone  but apparently i do not have one of those  ,Negative
 hey you remember that time we used to be friends   ugh vomit sick  i need sleep ,Negative
 getting lots of dentist time myself at the moment very stressfull and sore  take it nice and easy for the rest of the day,Negative
4 days in york  nice place photos coming soon feeling sick now though and i am back at work ,Negative
 i missed the show last friday i was so bummed but i am excited that you guys will start recording with   ,Positive
 i wish i was on spring break ,Negative
 thanks for helping share the postrank love ,Positive
the result is tomorrow oh nooooo ,Negative
is frightened cos its spider time i hope the flat repels them as i unfortunately have not got a man to save me ,Negative
 yes mam there is nothing like starting the day with a good song and a few dance moves ,Positive
 haha i wanted to go but it was to late ,Negative
ahh well i am off doing my work leave me song names please   byeee,Positive
at work though its friday its an awful friday they have my take n income n calls for 9 hrs when i usually make outbound calls what a day ,Negative
 whenever i find a good photo of the day i post it  suggestions are always welcome ,Positive
 hmmm think we need to get you climbing up hills  you will be really sining then ,Positive
is on bed rest for a few more days docs orders  only way my back will heal this sucks,Negative
 dang you are up already have a good day ,Positive
 well i will have you know i got one and and iron and a heater way domesticated ,Positive
chicken on my sarnies makes me sick why oh why  ill have to get a heinz big soup later on,Negative
my pinky toe has been broken for months i should be concerned  ,Positive
 omg yes summer vacation they are so old school ,Positive
someone needs to give this baby a home i would but it is a bit too soon  ,Negative
ryanodonnell  thanks for putting on such a great event cannot wait for the inevitable sequels   ,Positive
thanks  and  for the enternshipscom plugs ,Positive
 i got chastised for kitty punting with you yesterday ,Negative
good morning my ladys and jon lol ,Positive
finish almost everythingso  cannot wait 4 2morrowgot to look pretty,Positive
 too much flash and the guestbook is outdated ,Negative
 woohoo go you   yeh 28days was a band back in 2000 pumpkins amp live were good in their time i still like manu chao,Positive
 up up and away  by the way i am currently using the opera 10 alpha and apart from 12 annoying bugs it rocks,Positive
 i brought everything with me but left my ann pass at home  are we going to disney after ikea,Negative
 imooo ill be over at like 121 to get my stooof if that is ok  see you in a bizzle xxxxxxx,Positive
in val dor waiting for my wife and youngests flight to leave a long drive to chisasibi for me ,Negative
after a weekend that will never forgetits back to grindin ,Positive
 i am so sorry  hope yours does too god i want you to be okay,Negative
my car arrived maybe i will get it on thursdaydamn paperwork ,Negative
 now you know i would only hold the door open for you if we were going somewhere together ,Positive
is photographing this is hell tonight damn i really want to go to groezrock ,Negative
 i think no one is able to picture robert as a human anymore ,Positive
 shipping does not sound fun but try to enjoy it ,Positive
 you are thinking about the easter long weekend too much ,Positive
also done with my moms errands ,Positive
any converts from firefox to flock if yes why do you prefer it  thanks ,Positive
i see all of those really cool apps for the iphone on the commercials but she i look in the app store there all dumb games ,Negative
 cannot wait for friday i am coming to see the recording do you know who fridays guests are yet looking forward to it ,Positive
 aw i am fine too thanks yeah i miss you so much on the mfc  but hope we can talk later on today  kisses huglove,Negative
 i know right ,Positive
off too class ,Negative
a man that is not kool ,Negative
 lucky you i have to go back to school on monday ,Negative
did not go for mt class today  had sci project which is trust me waaaay better than wasting time at mt class,Positive
 nice meeting you too  you should definitely come to whatever is going on wednesday,Positive
 they have a 2nd show right after so i do not think we will be able to  unless we hang around detroit for two more hours,Negative
 that is the plan do nothing for 12 months get knocked up and have them pay for it  and have the option for pt work after,Positive
my friends short story is going to press  congrats melody,Positive
is about to go shopping for ingredients making chocolate fondant with vanilla icecream ,Positive
 happy birthday  let the sun shine through your life   and you know singapore is very sunny place ,Positive
a minute over time to get up let us start today right ,Positive
todayy was sweet ,Positive
 morning    how is you,Positive
going to bed after this show goes off  lifes pretty grand,Positive
 thanks for featuring me on cuteable yesterday ,Positive
 awesome picture dude you and ebg have matching visors ,Positive
says ayaw magload ng pet society haymsad  stupid office computer ,Negative
 means nothing to me i still have to work sat and sun and they took my twitter away ,Negative
says busted songs make me want to pick up the guitar again boo to broken strings  ,Negative
reaching amritsar in an hour and if i find a bus should be at wagah border by 2pm   ,Positive
 that probably explains why i do not like it  i hate fruity pebbles ,Negative
 its an embarrassing thing they see how dirty you are and what kind of quotstuffquot you own  great blog,Positive
 the one we were looking out for ,Positive
 i had a tough time doing anything here yesterday around 3 30 ,Negative
going to lay on the balcony  it is so hot ,Positive
awake on the phone  txt me,Positive
so follow  he is the coolest ,Positive
 you should come down this end of the globe sumtime that is an official kiwi invite ,Positive
ok on my way to the airportno i not going anywhere  picking someone up,Negative
 hi bb bro i hope you wake up n find it is reply  you r not talking to yrself hugssss i do not know why yr dms did not show up in d web,Positive
is in the bathroom wake up lakin ,Negative
off to pick up the dog doctors note and back to work ,Negative
off to the drs its too early ,Negative
ya  the office ,Negative
 good luck with mesh   deqq is awesome it is going to blow everyone away,Positive
 though well he is like a big brother   always friendly and supportive,Positive
 oh that is good to hear  but is it over already or you will continue it after the holy week,Positive
  have a mojito for me too ,Negative
 ha congrats glad all went well ,Positive
 i would say philosophical ,Positive
i am going 2 bed nowww  surprising not really i have school 2morow that is right my spring break days r over ,Negative
getting a nice break excited about classes and this incredible weather but especially about this weekend  home lt3,Positive
woke up with a migraine  today cannot even put contacts in its so bad wish i could call into work but cannot hope the babies are not fussy ,Negative
i am having such a hard time dealing with everything  i cannot help but think about her alot  i wonder how she is handling this is she  ,Negative
 i saw that before it got changed hot ,Positive
had a great night last night hanging out with  ,Positive
  um that would be a hell no to the fugly poker dog pants on the cruise  hi jonathan sorry i missed you ,Negative
yes bulls on paradesleep now in the fire perfect combo ,Positive
oh and by the way  i am not a recruiter  just looking for 1 lucky intern ,Positive
hitting the gym afterwards looking forward to rewiring my studio yet again ,Negative
has been riding scooters across ko chang all day tomorrow scooters will be replaced by elephants ,Positive
 hey there nice to meet you ,Positive
 great app thanks for sharing ,Positive
not having a car sucks what a bad week to get my car taken away ,Negative
eating krakers remembering that fast food is pooo ,Positive
happy birthday  too bad you also are travelling today ,Negative
 aww that is cuteyou must have a great girl ,Positive
good morning new york it is a crispy 41 degrees out there bundle up ,Positive
must have dozed off still feel really cruddy though  thought i might be miraculously better when i woke up i was wrong boooo ,Negative
oh darnit is mandy creed is not it   ,Negative
quotis in awe of everything she sees your wayquot ,Positive
 by the way i am doing all of my ccsf  communique 5 dev on a macbook pro  ,Positive
 wow really that is crazy i swear i knew what that was since i was like 14 how sad of me ,Negative
 some bird keeps waking me up right now i wish it would shut up ,Negative
 sorry i guess sarcasm is hard to show in 130 characters  ,Negative
 want to see it want to see it ,Positive
omg house what did i ever do to you   ,Negative
 lol he makes a few good points  i love the customers who bought crocs also bought hilarious,Positive
 thank uuu i know i heard you are in dallas ,Negative
 i wish i could i have to keep my door open for other people that may need me ,Negative
 i take it you are downtown  if you are on north michigan avenue the lush inside of macys is right across street from borders,Positive
   awesome time tonight i knew you would check twitter before bed ha ha ,Positive
sigh going to take a while to find all the files  argh,Negative
